(132, 247, 130)
(66, 131, 35)
(35, 83, 51)
(59, 179, 103)
(83, 154, 106)
(97, 72, 110)
(112, 123, 113)
(125, 18, 116)
(138, 64, 130)
(69, 192, 145)
(144, 194, 17)
(149, 177, 35)
(153, 164, 98)
(171, 138, 162)
(189, 180, 206)
(117, 184, 251)
(46, 191, 253)
(23, 86, 255)
(127, 52, 48)
(190, 51, 97)
(253, 80, 69)
(223, 200, 40)
(193, 105, 76)
(213, 14, 113)
(233, 27, 71)
(116, 22, 30)
(17, 130, 46)
(49, 131, 93)
(81, 232, 92)
